name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.33682830930537355	0.5373525557011796	0.7024901703800787	0.8427260812581914
HERBERT-GP	0.2870249017038008	0.5163826998689384	0.745740498034076	0.8977719528178244
HERBERT-GP-30	0.30930537352555704	0.526867627785059	0.745740498034076	0.8977719528178244
HERBERT-P	0.32503276539973786	0.5845347313237221	0.8007863695937091	0.9148099606815203
HERBERT-P-30	0.3197903014416776	0.5792922673656619	0.7732634338138925	0.9108781127129751
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.2870249017038008	0.4613368283093054	0.5753604193971167	0.709043250327654
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.3132372214941022	0.4613368283093054	0.598951507208388	0.7562254259501966
SympTEMIST-bi-encoder	0.2870249017038008	0.5072083879423329	0.7011795543905636	0.8479685452162516
roberta-base-biomedical-clinical-es	0.11926605504587157	0.16644823066841416	0.2529488859764089	0.36828309305373524
