name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.6257022471910112	0.7847612359550562	0.8648174157303371	0.9357443820224719
HERBERT-GP	0.6120084269662921	0.7787921348314607	0.886938202247191	0.9564606741573034
HERBERT-GP-30	0.6137640449438202	0.7830056179775281	0.8837780898876404	0.9554073033707865
HERBERT-P	0.6341292134831461	0.8030196629213483	0.9087078651685393	0.9620786516853933
HERBERT-P-30	0.6264044943820225	0.8068820224719101	0.8992275280898876	0.9603230337078652
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.5951544943820225	0.7331460674157303	0.807935393258427	0.8844803370786517
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.6021769662921348	0.7303370786516854	0.8075842696629213	0.8900983146067416
SympTEMIST-bi-encoder	0.6053370786516854	0.7650983146067416	0.8560393258426966	0.9238061797752809
roberta-base-biomedical-clinical-es	0.2654494382022472	0.38764044943820225	0.5066713483146067	0.6520365168539326
