name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.43038779402415767	0.6605212968849332	0.7946598855689765	0.9001907183725365
HERBERT-GP	0.40368722186904005	0.64907819453274	0.831532104259377	0.9370629370629371
HERBERT-GP-30	0.4062301335028608	0.6586141131595677	0.82453909726637	0.9351557533375715
HERBERT-P	0.4443738080101716	0.6973935155753338	0.870311506675143	0.94723458359822
HERBERT-P-30	0.43038779402415767	0.6999364272091545	0.8506039415130324	0.9434202161474888
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.37380801017164655	0.5727908455181182	0.6910362364907819	0.8086458995549904
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.3877940241576605	0.5721551176096631	0.7012078830260648	0.8296249205340115
SympTEMIST-bi-encoder	0.39669421487603307	0.6300063572790846	0.7889383343928799	0.8944691671964399
roberta-base-biomedical-clinical-es	0.15066751430387795	0.2619198982835346	0.3877940241576605	0.5136681500317863
