name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.5554272517321016	0.7205542725173211	0.7894534257120862	0.8587374903772133
DisTEMIST-bi-encoder	0.5327174749807544	0.6970746728252502	0.783679753656659	0.8514241724403387
HERBERT-GP	0.5500384911470362	0.7193995381062356	0.8033102386451116	0.8756735950731331
HERBERT-GP-30	0.5581216320246344	0.7286374133949192	0.8086989992301771	0.8772132409545804
HERBERT-P	0.5631254811393379	0.7301770592763664	0.8137028483448807	0.8749037721324096
HERBERT-P-30	0.5646651270207852	0.7305619707467282	0.8110084680523479	0.8695150115473441
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.5565819861431871	0.7024634334103156	0.76905311778291	0.829869130100077
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.5619707467282525	0.7105465742879138	0.7732871439568899	0.8302540415704388
roberta-base-biomedical-clinical-es	0.3995381062355658	0.5130869899923017	0.569284064665127	0.6397228637413395
