name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.3775784753363229	0.5668161434977579	0.662780269058296	0.7847533632286996
DisTEMIST-bi-encoder	0.3560538116591928	0.536322869955157	0.6636771300448431	0.7775784753363228
HERBERT-GP	0.37847533632286995	0.5650224215246636	0.6878923766816144	0.8152466367713005
HERBERT-GP-30	0.3919282511210762	0.5802690582959641	0.7022421524663677	0.8179372197309417
HERBERT-P	0.39282511210762333	0.5856502242152466	0.715695067264574	0.8179372197309417
HERBERT-P-30	0.4062780269058296	0.5847533632286995	0.715695067264574	0.8089686098654708
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.3919282511210762	0.547085201793722	0.6421524663677131	0.7452914798206278
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.40717488789237666	0.5605381165919282	0.6511210762331838	0.7461883408071749
roberta-base-biomedical-clinical-es	0.21434977578475337	0.29775784753363227	0.3704035874439462	0.4565022421524664
