name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.33745454545454545	0.5483636363636364	0.6749090909090909	0.8
DisTEMIST-bi-encoder	0.2989090909090909	0.504	0.6632727272727272	0.7883636363636364
HERBERT-GP	0.3330909090909091	0.5483636363636364	0.6996363636363636	0.832
HERBERT-GP-30	0.3461818181818182	0.5658181818181818	0.7076363636363636	0.8341818181818181
HERBERT-P	0.3469090909090909	0.5694545454545454	0.7185454545454546	0.8305454545454546
HERBERT-P-30	0.35854545454545456	0.5694545454545454	0.7127272727272728	0.8210909090909091
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.3432727272727273	0.5185454545454545	0.6349090909090909	0.7461818181818182
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.3527272727272727	0.5294545454545454	0.6429090909090909	0.7483636363636363
roberta-base-biomedical-clinical-es	0.10327272727272727	0.18981818181818183	0.2843636363636364	0.40436363636363637
