name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.6575456053067993	0.7805417357656164	0.8521282476506357	0.9071310116086235
HERBERT-GP	0.650359314538419	0.7672747374239911	0.8399668325041459	0.9038142620232172
HERBERT-GP-30	0.6481481481481481	0.7681039248203427	0.8402432283029297	0.9027086788280818
HERBERT-P	0.6597567716970703	0.775290215588723	0.8482587064676617	0.9112769485903814
HERBERT-P-30	0.6558872305140961	0.7661691542288557	0.84383637368712	0.906301824212272
MedProcNER-bi-encoder	0.6359867330016584	0.7705914870093975	0.8441127694859039	0.9074074074074074
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.6459369817578773	0.7622996130458817	0.8338861249309011	0.8902708678828082
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.65616362631288	0.7692095080154782	0.8305693753454948	0.892482034273079
roberta-base-biomedical-clinical-es	0.5060807075732449	0.5812603648424544	0.6431730237700387	0.7189054726368159
