name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.31662870159453305	0.5227790432801822	0.6913439635535308	0.8109339407744874
HERBERT-GP	0.3109339407744875	0.48177676537585423	0.6287015945330297	0.7835990888382688
HERBERT-GP-30	0.3223234624145786	0.4920273348519362	0.6400911161731208	0.7790432801822323
HERBERT-P	0.33029612756264237	0.510250569476082	0.6674259681093394	0.8223234624145785
HERBERT-P-30	0.32574031890660593	0.5	0.6560364464692483	0.8018223234624146
MedProcNER-bi-encoder	0.2835990888382688	0.5125284738041003	0.6708428246013668	0.8189066059225513
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.2938496583143508	0.47266514806378135	0.6309794988610479	0.755125284738041
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.31890660592255127	0.5148063781321185	0.6480637813211845	0.7892938496583144
roberta-base-biomedical-clinical-es	0.12870159453302962	0.19817767653758542	0.2767653758542141	0.3940774487471526
