name	Recall@1	Recall@5	Recall@25	Recall@200
ClinLinker	0.3947976878612717	0.6057803468208093	0.7473988439306358	0.8589595375722543
HERBERT-GP	0.376878612716763	0.584971098265896	0.7277456647398844	0.8560693641618498
HERBERT-GP-30	0.37341040462427744	0.5861271676300578	0.7294797687861272	0.8531791907514451
HERBERT-P	0.40115606936416187	0.6023121387283237	0.7456647398843931	0.8722543352601156
HERBERT-P-30	0.38670520231213873	0.5832369942196531	0.7369942196531792	0.8595375722543352
MedProcNER-bi-encoder	0.3508670520231214	0.5884393063583815	0.7364161849710983	0.8635838150289017
SapBERT-UMLS-2020AB-all-lang-from-XLMR	0.38034682080924853	0.569364161849711	0.7115606936416184	0.8254335260115607
SapBERT-UMLS-2020AB-all-lang-from-XLMR-large	0.3988439306358382	0.5815028901734104	0.7046242774566474	0.8317919075144509
roberta-base-biomedical-clinical-es	0.13121387283236993	0.23641618497109826	0.3531791907514451	0.4953757225433526
